step,queue,waiting,throughput
15,10.0,42.0,3
16,11.0,28.0,1
17,17.0,160.0,3
18,20.0,347.0,0
19,26.0,563.0,1
20,13.0,107.0,2
21,10.0,47.0,2
22,25.0,214.0,1
23,31.0,486.0,2
24,34.0,804.0,3
25,41.0,1167.0,0
26,42.0,1565.0,0
27,46.0,2004.0,0
28,39.0,1463.0,1
29,28.0,695.0,1
30,16.0,201.0,0
31,10.0,29.0,1
32,22.0,177.0,0
33,19.0,127.0,2
34,19.0,112.0,2
35,12.0,144.0,2
36,15.0,275.0,2
37,11.0,31.0,2
38,15.0,46.0,1
39,15.0,150.0,0
40,22.0,322.0,0
41,18.0,142.0,1
42,8.0,31.0,0
43,23.0,187.0,0
44,29.0,439.0,3
45,32.0,740.0,3
46,38.0,1074.0,2
47,30.0,739.0,1
48,19.0,191.0,3
49,21.0,155.0,1
50,21.0,146.0,1
51,21.0,112.0,2
52,26.0,169.0,2
53,21.0,162.0,2
54,21.0,154.0,1
55,21.0,187.0,0
56,6.0,19.0,1
57,21.0,152.0,1
58,35.0,414.0,2
59,40.0,788.0,3
60,33.0,659.0,2
1,3.0,0.0,0
2,1.0,0.0,0
3,0.0,0.0,0
4,3.0,0.0,0
5,3.0,7.0,0
6,5.0,39.0,0
7,6.0,14.0,0
8,8.0,70.0,0
9,3.0,9.0,0
10,10.0,28.0,1
11,2.0,8.0,1
12,9.0,27.0,3
13,16.0,126.0,2
14,5.0,21.0,0
15,8.0,36.0,2
16,18.0,165.0,2
17,9.0,60.0,1
18,9.0,25.0,3
19,4.0,11.0,2
20,8.0,25.0,0
21,8.0,25.0,1
22,10.0,29.0,0
23,20.0,172.0,3
24,27.0,394.0,1
25,27.0,645.0,2
26,32.0,935.0,2
27,28.0,570.0,0
28,16.0,179.0,0
29,8.0,27.0,1
30,8.0,23.0,1
31,9.0,31.0,1
32,20.0,178.0,1
33,18.0,94.0,2
34,10.0,40.0,1
35,11.0,42.0,0
36,9.0,50.0,3
37,8.0,25.0,1
38,5.0,28.0,1
39,11.0,92.0,2
40,6.0,18.0,3
41,8.0,29.0,2
42,12.0,38.0,2
43,10.0,40.0,3
44,8.0,33.0,1
45,10.0,39.0,1
46,9.0,30.0,1
47,14.0,155.0,3
48,22.0,319.0,0
49,12.0,98.0,4
50,7.0,60.0,2
51,13.0,140.0,1
52,6.0,19.0,1
53,8.0,31.0,1
54,5.0,15.0,2
55,9.0,72.0,0
56,10.0,157.0,2
57,3.0,13.0,3
58,10.0,28.0,0
59,2.0,4.0,0
60,10.0,33.0,2
1,3.0,0.0,0
2,1.0,0.0,0
3,0.0,0.0,0
4,3.0,0.0,0
5,3.0,9.0,0
6,5.0,45.0,0
7,5.0,10.0,0
8,7.0,29.0,0
9,10.0,111.0,1
10,17.0,230.0,0
11,19.0,393.0,1
12,6.0,24.0,3
13,10.0,33.0,0
14,21.0,179.0,1
15,22.0,394.0,1
16,29.0,643.0,2
17,22.0,370.0,2
18,13.0,59.0,0
19,12.0,26.0,1
20,12.0,34.0,0
21,7.0,22.0,2
22,10.0,28.0,2
23,22.0,175.0,4
24,33.0,451.0,2
25,40.0,806.0,2
26,34.0,648.0,1
27,24.0,280.0,1
28,12.0,34.0,0
29,10.0,78.0,0
30,11.0,176.0,0
31,16.0,297.0,2
32,14.0,53.0,2
33,18.0,162.0,2
34,27.0,385.0,0
35,27.0,267.0,3
36,15.0,156.0,3
37,18.0,310.0,1
38,19.0,103.0,0
39,18.0,180.0,2
40,22.0,386.0,2
41,31.0,635.0,2
42,31.0,930.0,1
43,20.0,354.0,2
44,15.0,117.0,1
45,7.0,22.0,1
46,7.0,31.0,2
47,18.0,154.0,3
48,11.0,44.0,0
49,19.0,200.0,1
50,17.0,82.0,1
51,7.0,25.0,1
52,20.0,164.0,0
53,13.0,47.0,2
54,10.0,41.0,1
55,12.0,47.0,0
56,11.0,29.0,3
57,21.0,169.0,2
58,29.0,428.0,2
59,34.0,738.0,2
60,38.0,1087.0,1
1,3.0,0.0,0
2,1.0,0.0,0
3,0.0,0.0,0
4,3.0,0.0,0
5,3.0,9.0,0
6,5.0,45.0,0
7,12.0,113.0,0
8,13.0,228.0,0
9,16.0,377.0,1
10,24.0,564.0,1
11,26.0,794.0,1
12,27.0,1055.0,0
13,33.0,1357.0,1
14,38.0,1700.0,1
15,39.0,2069.0,0
16,28.0,728.0,0
17,17.0,185.0,2
18,8.0,32.0,0
19,23.0,180.0,2
